index,IPA Transcription,Gloss,Translation,Word
4348,ɔ̀ɽdʒɛ́tʃá kúkúŋú ánò,,Help Kuku now (far away),
4349,lɔ̀ɽdʒɛ̀tʃí kúkúŋú ánò,,They helped Kuku,l-ɔ̀ɽdʒɛ̀tʃ-í kúkú-ŋú ánò
4350,lɔ̌ɽdʒɛ̀tʃì kúkúŋú ánò,,They helped Kuku (and left),là ɔ́ɽdʒɛ̀tʃ-ì kúkú-ŋú ánò
4351,lɔ́ɽdʒɛ̀tʃà kúkúŋú ánò,,They will help Kuku,lá ɔ́ɽdʒɛ̀tʃ-à kúkú-ŋú ánò
4352,lɔ̂ɽdʒɛ̀tʃí kúkúŋú ánò,,They will help Kuku (far away),lá ɔ̀ɽdʒɛ̀tʃ-í kúkú-ŋú ánò
4353,ɛ́ɽðó,,ask,
4354,ɛ́ɽðó ɛ́vàrt̪à ,,ask the teacher,
4355,ɛ́ɽðó ɛ́vàrt̪à t̪ɔ́wə̀nì,,ask the teacher now,
4356,ɛ̀ɽðá ɛ́vàrt̪à t̪ɔ́wə̀nì,,ask the teacher now (far away),
4357,làɛ́ɽðì ɛ̀vàɾt̪à ,,They asked the teacher (and left).,
4358,làɛ́ɽðì ɛ̀vàɾt̪à  ùnɛ̀ɾɛ̀,,They asked the teacher yesterday (and left).,
4359,lɛ̀ɽðó ɛ́vàrt̪à ùnɛ̀ɾɛ̀,,They asked the teacher yesterday.,
4360,láɛ́ɽðà ɛ̀vàɾt̪à   ndɔ̀bà,,They will ask the teacher tomorrow,
4361,láɛ̀ɽðó ɛ́vàɾt̪à  ndɔ̀bà,,They will ask the teacher tomorrow (far away),
4362,ɛ̀vàɾtɔ̀ kìtʃə̀lò,,The teacher is good,
4363,lɛ̀vàɾt̪ɔ̀ lìtʃə̀lò,,The teachers are good,
4364,ját̪ɔ́ ŋɔ̀mɔ̀,,Eat his/her food!,
4365,íját̪ánó,,to chew,
4366,ját̪ɔ́ ŋɔ̀mɔ̀ ánó,,chew food,
4367,íját̪ɔ́ ŋɔ̀mɔ̀,,Eat his/her food!,
4368,ìjàt̪á ŋɔ̀mɔ̀ ánò,,chew food (far away),
4369,lɛ̀jàt̪ɔ́ ŋɔ́mɔ̀ ánò,,They chewed the food,
4370,làját̪ɛ̀ ŋɔ̀mɔ̀ ánò,,They chewed the food (and left),
4371,láját̪à ŋɔ̀mɔ̀ ánó ndɔ̀bà,,They will chew the food tomorrow,
4372,lájàt̪ɔ́ ŋɔ́mɔ̀ ánó ndɔ̀bà,,They will chew the food tomorrow (far away),
4373,wɛ̀ ɛ́lɔ́ kìɽánó kàró érá nìrɛ́mnɛ̀t̪à t̪à?,then CLk.God CLk-angry-PART CLk-say-TAMD why weak-TAMD like.this,"Then God is angry, he asked me why I'm so thin like this.",wɛ̀ ɛ́lɔ́ kì-ɽ-ánó k-àr-ó érá nì rɛ́mnɛ̀t̪-à t̪à?
4374,kìɽánó,,angry,
4375,lɛ̀ɽánó ,,They are angry,
4376,lɛ̀ɽánó t̪ɔ́wə̀nì,CLl-angry PART now,They are angry now,lɛ̀-ɽ ánó t̪ɔ́wə̀nì
4377,kàró,,Said,
4378,érá,,ask (why),
4379,wɛ́ nárt̪íŋí áɡáŋîjàjàt̪à ɛ̀ðɛ̌,,Then when I told him you eat my food alone (over and over),
4380,áɡáŋîjàt̪à ɛ̀ðɛ̌,,you eat my food alone (only once),
4381,áɡáŋîmàt̪à ɛ̀ðɛ̌,,you took my food alone (only once),
4382,áɡáŋîmàmàt̪à ɛ̀ðɛ̌,,you took my food alone (over and over),
4383,wɛ́ nárt̪áŋá,,when you told him...,
4384,wɛ́ nɜ́rtí ɛ́lɔ́ŋú áɡáŋíjàjàt̪à ɛ̀ðɛ̌,,When I told God you eat my food alone (over and over),
4385,jíŋàtʃí ɔ́ɾà kɛ́ kúkùŋà ŋávɛ̀,,I brought Kuku's brother water,
4386,jíŋàtʃí ɔ́ɾà kɛ́ kúkù ŋávɛ̌,,I brought Kuku's brother water,
4387,jíŋàtʃàtʃí ɔ́ɾà kɛ́ kúkù ŋà ŋávɛ̀,,I brought Kuku's brother water (at some place),
4388,jíŋàtʃàtʃí ɔ́ɾà kɛ́ kúkù ŋà ŋávɛ̀ nɛ̀ lɛ̀vɛ̌ɾ,,I brought Kuku's brother water in the field,
4389,jíŋàtʃìt̪ɔ́ ɔ́ɾà kɛ́ kúkù ŋà ŋávɛ̀,,I brought (someone) water on behalf of Kuku's brother,
4390,jíŋàtʃìt̪ɔ́ ɔ́ɾà kɛ́ kúkù ŋà ŋávɛ̀ kúkùŋù,,I brought Kuku water on behalf of Kuku's brother,
4391,làíjɛ̌,,Parts of: They ate meat yesterday (and left).,
4392,làíjɛ̀ ɛ̀ðɛ̀ ùnɛ̀ɾɛ̀,,They ate meat yesterday (and left).,
4393,ðàlɡàráj ðìjɛ̀ðú únɛ̄ɾɛ̄ ŋàmɽàɾɛ̀,,Hyena bit a lot yesterday (and is still here).,
4394,ðàlɡàrâj ðàjɛ́ðì,,Parts of: Hyena bit a lot yesterday (and left).,
4395,ðàlɡàrâj ðàjɛ́ðì ùnɛ̀ɾɛ̀,,Hyena bit yesterday (and left).,
4396,ðàjɛ́ðì,,Parts of: Hyena bit a lot yesterday (and left).,
4397,lə̀vràðɔ́ ùnɛ̀ɾɛ̀,,They swept yesterday,
4398,làvráðɛ̀ ùnɛ̀ɾɛ̀,,They swept the floor yesterday (and left),
4399,lìðɔ́ íjɔ́ ùnɛ́ɾɛ́,,They made fire yesterday (and are still here).,
4400,làíðɛ̀ íjɔ́ ùnɛ́ɾɛ́,,They made fire yesterday (and left).,
4401,làíðɛ̌,,Parts of: They made fire yesterday (and left).,
4402,làíðɛ̀,,Parts of: They made fire yesterday (and left).,
4403,làmɛ́ðɛ̀ ðár ùnɛ́ɾɛ́,,They made rope yesterday (and left).,
4404,làmɛ́ðɛ̀,,Parts of: They made rope yesterday (and left).,
4405,lɛ̀bùlìjí ðɔ́mɔ̀tʃà ùnɛ́ɾɛ́,,They wrestled the man yesterday (and are still here).,
4406,làbúlìjì ðɔ̀mɔ̀tʃà ùnɛ́ɾɛ́,,They wrestled the man yesterday (and left).,
4407,làbúlìjì ðɔ̀mɔ̀tʃà ùnɛ̀ɾɛ̀,,They wrestled the man yesterday (and left).,
4408,lɛ̀ɖí álɛ́ ùnɛ́ɾɛ́,,They touched the stone yesterday (and are still here).,
4409,làɛ́ɖì álɛ́ ùnɛ́ɾɛ́,,They touched the stone yesterday (and left).,
4410,làɛ́ɖǐ álɛ́ ùnɛ́ɾɛ́,,They touched the stone yesterday (and left).,
4411,làɛ́ɖì álɛ́ ùnɛ̀ɾɛ̀,,They touched the stone yesterday (and left).,
4412,lɜ̀ ɜ́ɖì,,Parts of: They touched the stone yesterday (and left).,
4413,lɜ̀ ɜ́ɖì álɛ́ ùnɛ̀ɾɛ̀,,They touched the stone yesterday (and left).,
4414,làdɔ̀ŋnɔ́ álɛ́ ùnɛ́ɾɛ́,,They held the stone yesterday (and are still here).,
4415,ládɛ̀ŋnɛ̌ álɛ́ ùnɛ̀ɾɛ̀,,They held the stone yesterday (and left).,
4416,là ádɛ̀ŋnɛ̌ álɛ́ ùnɛ̀ɾɛ̀,,They held the stone yesterday (and left).,
4417,là ádɛ̀ŋnɛ̀,,Parts of: They held the stone yesterday (and left).,
4418,là ádɛ̀ŋnɛ̀ álɛ́ ùnɛ̀ɾɛ̀,,They held the stone yesterday (and left).,
4419,là ádɛ̀ŋnɛ̌ álɛ́ ùnɛ́ɾɛ́,,They held the stone yesterday (and left).,
4420,lɛ̀d̪ùɾú ùnɛ́ɾɛ́,,They stopped yesterday (and are still here).,
4421,làd̪úɾì ùnɛ́ɾɛ́,,They stopped yesterday (and left).,
4422,làd̪úɾǐ ùnɛ̀ɾɛ̀,,They stopped yesterday (and left).,
4423,là àd̪úɾì,,Parts of: They stopped yesterday (and left).,
4424,là ád̪ùɾì ùnɛ̀ɾɛ̀,,They stopped yesterday (and left).,
4425,là àd̪úɾì ùnɛ̀ɾɛ̀,,They stopped yesterday (and left).,
4426,làd̪úɾǐ ,,Parts of: They stopped yesterday (and left).,
4427,làd̪úɾì ùnɛ̀ɾɛ̀,,They stopped yesterday (and left).,
4428,dúrû,,stop!,
4429,ádùrú,,You stopped,
4430,ádùrú ùnɛ́ɾɛ́,,You stopped yesterday,
4431,là àd̪úɾǐ,,Parts of: They stopped yesterday (and left).,
4432,làd̪úɾǐ,,Parts of: They stopped yesterday (and left).,
4433,là d̪úɾǐ,,Parts of: They stopped yesterday (and left).,
4434,làd̪úɾì,,Parts of: They stopped yesterday (and left).,
4435,lìjìnɔ́ ùnɛ́ɾɛ́ ŋàmɽàɾɛ̌,,They ate a lot yesterday (and are still here).,
4436,làjínɛ̀,,eat a lot,
4437,làjínɛ̀ ŋàmɽàɾɛ̀,,They ate a lot (and left).,
4438,làjínɛ̀ ùnɛ́ɾɛ́ ŋàmɽàɾɛ̀ ,,They ate a lot yesterday (and left).,
4439,lìnd̪ɔ̀t̪ɔ́ ɛ́vlà ùnɛ́ɾɛ́,,They found the cat yesterday (and are still here).,
4440,làínd̪ɛ̀t̪ɛ̌,,Parts of: They found the cat yesterday (and left).,
4441,làínd̪ɛ̀t̪ɛ̌ ɛ̀vlà ùnɛ̀ɾɛ̀,,They found the cat yesterday (and left).,
4442,làínd̪ɛ̀t̪ɛ̀ ɛ̀vlà ùnɛ́ɾɛ́,,They found the cat yesterday (and left).,
4443,lǎmìɲì lɔ́mɛ́ ùnɛ́ɾɛ́,,They liked the rain yesterday (and left).,
4444,lǎmìɲǐ,,Parts of: They liked the rain yesterday (and left).,
4445,lǎmìɲì,,Parts of: They liked the rain yesterday (and left).,
4446,lǎmìɲì lɔ́mɛ́ ùnɛ̀ɾɛ̀,,They liked the rain yesterday (and left).,
4447,làmìɲí lɔ́mɛ́ ùnɛ́ɾɛ́,,They liked the rain yesterday.,
4448,lǎmìɲǐ lɔ́mɛ́ ùnɛ́ɾɛ́,,They liked the rain yesterday (and left).,
4449,áŋú,,see!,
4450,ŋìðə̀ní ŋɛ̀nɔ̀nìnɔ́,,‘the rabbit has been seen’,
4451,ŋìðə̀ní ŋɛ̀nɔ̀nìnɔ̀,,‘the rabbit has been seen’,
4452,ŋìðə̀ní ŋɛ̀nɔ̀nìnɔ̂ɔ́,,‘the rabbit has been seen’,
4453,ŋìðə̀ní ŋɛ̀nɔ̀nìnɔ́ ásǎ,,"‘the rabbit appeared, revealed itself’",
4454,jínɔ̀nìnɔ́ ásǎ,,I revealed myself’ (after hiding in a bush),
4455,jɛ́nɔ̀nìnɔ́ ásà,,‘I revealed myself’ (after hiding in a bush),
4456,ŋɛ̀nɔ̀nìnɔ̀,,It (rabbit) was seen,
4457,ŋɛ̀nɔ̀nìnɔ́ ásá,,"It (the rabbit) appeared, revealed itself",
4458,ŋə̀mìɲàt̪ɔ́ ásá,,"‘it (rabbit) has come out, revealed itself’",
4459,ŋìðə̀ní ŋə̀mìɲàt̪ɔ́ ásà,,"The rabbit has come out, revealed itself",
4460,nɔ́nɔ́ t̪òlèɲá,,see the lion,
4461,âŋú áɖám íjɛ̀ ɲì,,did you see my book?,
4462,nɔ́nɔ́ àɖám íjɛ̀ ɲì,,look at my book,
4463,làŋú,,they saw...,
4464,làŋú ŋíðə̀nɔ́,,they saw the lion/rabbit,
4465,làŋú ŋíðə̄nɔ̄ ùnɛ́ɾɛ́,,they saw the lion/rabbit yesterday,
4466,làáŋì ŋìðə̀nɔ́ ùnɛ́ɾɛ́,,they saw the lion/rabbit yesterday (and left).,
4467,láŋà ŋìðə̀nɔ́ ndɔ̀bà,,They will see the rabbit tomorrow,
4468,nɔ́nɔ̀,,to look at,
4469,lâŋú ŋíðə̄nɔ̄ ndɔ̀bà,,They will see the rabbit tomorrow (not different location).,
4470,áŋú ŋìðə̀nɔ̂ɔ́,,see the rabbit!,
4471,nɔ́nɔ́ ŋìðə̀nɔ́,,look at the rabbit!,
4472,áŋú nɔ̀ŋnɔ̌,,See clearly!,
4473,áŋú nɔ̀ŋnɔ̀,,See clearly!,
4474,àŋá nɔ̀ŋnɔ̀ ,,See clearly! (far),
4475,bɔ́lɔ́ t̪ɔ́wə̀ní,,wrestle now!,
4476,bɔ́lɔ́ t̪ɔ̀wə̀nì,,wrestle now!,
4477,bɔ̀lá t̪ɔ̀wə̀nì,,wrestle now (far away),
4478,lɛ̀bùlú ùnɛ́ɾɛ́,,They wrestled yesterday,
4479,lɛ̀bùlú únɛ̀ɾɛ́,,They wrestled yesterday,
4480,làbúlì ùnɛ̀ɾɛ̀,,They wrestled yesterday (and left),
4481,lɛ̀bùlú,,they wrestled,
4482,bɔ́lɔ́ t̪ɔ́wə̀nì,,wrestle now!,
4483,bɔ́lɔ́,,wrestle!,
4484,bɔ́lɔ̀,,wrestle!,
4485,bɔ̀là,,wrestle! (far),
4486,bula,,wrestle! (far),
4487,bùlà,,wrestle! (far),
4488,bɔ̀lá,,wrestle! (far),
4489,làbúlì,,they wrestled (and left),
4490,lábúlà nd̪ɔ̀bà,,They will wrestle tomorrow,
4491,lábúlà,,they will wrestle,
4492,lábùlú nd̪ɔ̀bà,,They will wrestle tomorrow (far),
4493,lábùlú,,They will wrestle (far),
4494,lábùlú nd̪ɔ̀bǎ,,They will wrestle tomorrow (far),
4495,rdɔ,,possess!,
4496,làrdɔ́,,cows,
4497,làrdɔ́ írɔ́,,They possess cows,
4498,làrdɔ́ írɔ̀,,they possess/have cows,
4499,ŋát̪ɔ́,,taste!,
4500,ŋát̪ɔ̀,,taste!,
4501,lɛ̀ŋàt̪ɔ́,,they taste...,
4502,(?) miɲa,,,
4503,miɲa,,to come out/exit,
4504,lɛ̀d̪ùɾú ,,stop,
4505,lɛ̀d̪ùɾú unɛɾɛ,,"They stopped yesterday (and are still here).
",
4506,làmìɲí,,rain?,
4507,làmìɲí lɔmɛ unɛɾɛ,,"They liked the rain yesterday.
",
4508,asa,,something that appears that you can see,
4509,jinoninɔ asa,,‘I revealed myself’ (after hiding in a bush),
4510,ŋamiɲato asa,,"‘it (rabbit) has come out, revealed itself’
",
4511,aŋo,,to see/look,
4512,nɔnɔ...,,see/look at the lion,
4513,aŋo...,,did you see my book?,
4514,làŋó,,they saw,
4515,làŋó ŋeðeno,,they saw the rabbit,
4516,làŋó ŋeðeno unɛɾɛ,,They saw the rabbit yesterday,
4517,làáŋì ŋeðeno unɛɾɛ,,They saw the rabbit yesterday,
4518,láŋà ŋeðeno ndɔba,,They will see the rabbit tomorrow,
4519,áŋó,,see now,
4520,nánó?,,look,
4521,lâŋó ŋeðeno ndɔba,,different location,
4522,áŋó nɔ̀ŋnɔ̀,,see clearly,
4523,áŋó ,,,
4524,àŋá nɔ̀ŋnɔ̀,,see clearly,
4525,lɛ̀bɔ̀lɛ (?),,,
4526,lɛ̀bɔ̀lɔ́,,wrestle,
4527,?,,bat?,
4528,lɛ̀bɔ̀lɔ́ ndɔba,,,
4529,lɛ̀bɔ̀lɔ́ unɛɾɛ,,They wrestled yesterday,
4530,ŋatʃi,,to give,
4531,rdo,,to possess,
4532,an kuku ngarattingi zonda,,,
4533,là ðáŋàl ɜ̀ŋtʃì kúkúŋú únɛ̀ɾɛ̀,CLl-AUX CLð.sheep show-PFV.AND Kuku-ACC yesterday,"The sheep showed it (coconut) to Kuku yesterday (and left).
",l-à ðáŋàl ɜ̀ŋtʃ-ì kúkú-ŋú únɛ̀ɾɛ̀
4534,lɜ̀ŋtʃí ðáŋàl kúkúŋú ùnɛ̀ɾɛ̀,CLl-show-PFV.VEN CLð.sheep Kuku-ACC yesterday,The sheep showed it (coconut) to Kuku yesterday (and is still there).,l-ɜ̀ŋtʃ-í ðáŋàl kúkú-ŋú ùnɛ̀ɾɛ̀
4535,lá ðáŋàl àŋtʃɔ̀ kúkúŋú,,The will show it (coconut) to Kuku.,
4536,lá ðáŋàl àŋtʃɔ̀ kúkúŋú ndɔ̀bà,CLl-AUX CLð.sheep show-IPFV.AND Kuku-ACC tomorrow,The sheep will show it (coconut) to Kuku tomorrow.,l-á ðáŋàl àŋtʃ-ɔ̀ kúkú-ŋú ndɔ̀bà
4537,lá ðáŋàl ɜ̀ŋtʃí kúkúŋú ndɔ̀bà,CLl-AUX CLð.sheep show-IPFV.VEN Kuku-ACC tomorrow,The sheep will show it (coconut) to Kuku tomorrow (far away).,l-á ðáŋàl ɜ̀ŋtʃ-í kúkú-ŋú ndɔ̀bà
4538,lìdʒí lə̀vràðɔ́ ðúdò,,People swept the floor.,
4539,lìdʒí làvráðɛ̀ ðùdò,,People swept the floor (and left),
4540,lìdʒí lávráðà ðùdò,,People will sweep the floor,
4541,lìdʒí lávràðɔ́ ðúdò,,People will sweep the floor (far),
4542,lùrnɔ̀ lə̀vràðɔ́ ðúdò,,The grandchildren swept the floor,
4543,lùrnɔ̀ làvráðɛ̀ ðùdò,,The grandchildren swept the floor (and left),
4544,lùrnɔ̀ lávràðɔ́ ðúdò,,The grandchildren will sweep the floor (far),
4545,lùrnɔ̀ lávráðà ðùdò,,The grandchildren will sweep the floor,
4546,lìdʒí là ílə̀ðɛ̀ ɖìjò,,People sold the cow (and left),
4547,lìdʒí lìlɔ̀ðɔ́ ɖíjò,,People sold/bought the cow,
4548,lìdʒí là ílə̀ðɛ̀ dìjò,,People sold the cow (and left),
4549,lìdʒí lá ílɔ̀ðɔ̀ ɖìjò,,People will sell the cow,
4550,lìdʒí lá ìlɔ̀ðɔ́ ɖíjò,,People will sell the cow (far),
4551,lìdʒí lɛ̀ìlɔ̀ðɔ́ ɖíjò ... lìdʒí là ílə̀ðɛ̀ ɖìjò,,People sold the cow ... People sold the cow (and left),
4552,lùrnɔ̀ lìlɔ̀ðɔ́ ɖíjò,,The grandchildren sold the cow,
4553,lùrnɔ̀ là ílə̀ðɛ̀ ɖìjò,,The grandchildren sold the cow (and left),
4554,lùrnɔ̀ lá ìlɔ̀ðɔ́ ɖíjò,,The grandchildren will sell the cow (far),
4555,lùrnɔ̀ lɛ́lɔ̀ðɔ̀ ɖìjò,lùrnɔ̀ lá ílɔ̀ðɔ̀ ɖìjò,The grandchildren will sell the cow (here),
4556,lùrnɔ̀ lá ílɔ̀ðɔ̀ ɖìjò,,The grandchildren will sell the cow,
4557,íját̪ɔ́ ɛ̀ðɛ̀,íj-át̪-ɔ́ ɛ̀ðɛ̀,eat the meat (someone else’s)!,
4558,ìjàt̪á ɛ̀ðɛ̀,ìj-àt̪-á ɛ̀ðɛ̀,eat the meat (someone else’s) far!,
4559,jáít̪ɔ́ ɛ̀ðɛ̀,j-á-ít̪ɔ́ ɛ̀ðɛ̀,‘chew meat for someone!’,
4560,jàìt̪ɔ́ ɛ́ðɛ̀,j-à-ìt̪ɔ́ ɛ̀ðɛ̀,‘chew meat for someone far away!,
4561,lɛ̀ŋàtʃí ðáŋàl kúkúŋú ùnɛ̀ɾɛ̀,CLl-give-PFV.VEN CLð.sheep Kuku-ACC yesterday,"The sheep gave it (coconut) to Kuku yesterday (and is still there).
",lɛ̀-ŋàtʃ-í ðáŋàl kúkú-ŋú ùnɛ̀ɾɛ̀
4562,là ðáŋàl ŋàtʃì kúkúŋú ùnɛ̀ɾɛ̀,CLl-AUX CLð.sheep give-PFV.AND Kuku-ACC yesterday,The sheep gave it (coconut) to Kuku yesterday (and left).,l-à ðáŋàl ŋàtʃ-ì kúkú-ŋú ùnɛ̀ɾɛ̀
4563,lá ðáŋàl ŋàtʃà kúkúŋú ndɔ̀bà,CLl-AUX CLð.sheep give-IPFV.AND Kuku-ACC tomorrow,The sheep will give it (coconut) to Kuku tomorrow.,l-á ðáŋàl ŋàtʃ-à kúkú-ŋú ndɔ̀bà
4564,lá ðáŋàl ŋàtʃí kúkúŋú ndɔ̀bà,CLl-AUX CLð.sheep give-IPFV.VEN Kuku-ACC tomorrow,"The sheep will give it (coconut) to Kuku tomorrow (far away).
",l-á ðáŋàl ŋàtʃ-í kúkú-ŋú ndɔ̀bà
4565,jáít̪ɔ́,,‘chew meat for someone!’,
4566,jáít̪ɔ́ ɛ́ðɛ̀,,‘chew meat for someone!’ ,
4567,t̪ɔ́ súɽù,,drink beer!,
4568,t̪ɔ́t̪ɔ́ súɽú,,Drink someone else's beer!,
4569,t̪ɔ́t̪ɔ́ súɽù,,drink someone else's beer!,
4570,t̪àt̪ɔ́ súɽú,,drink someone else's beer! (far),
4571,və́lɛ́tʃír ɔ́rá,,visit each other!,
4572,və́lɛ́tʃír ɔ́rà,,visit each other!,
4573,və́lɛ́tʃíðú,,visit!,
4574,və́lɛ́tʃíðúr,,visit! (pl),
4575,və́lɛ́tʃír,,visit!,
4576,və̀lɛ̀tʃìðâ,,visit! (far),
4577,və̀lɛ̀tʃìðá t̪ɔ́wə̀ní,,visit now! (far),
4578,və̀lɛ̀tʃìðá t̪ɔ́wə̀nì,,visit now! (far),
4579,və̀lɛ̀tʃɔ́ ùrnɔ̀,,visit grandfather! (far),
4580,və̀lɛ̀tʃɔ̂,,visit! (far),
4581,və̀lɛ̀tʃìðá,,visit! (far),
4582,və́lɛ́tʃí ùrnɔ̌,,Visit grandfather!,
4583,və́lɛ́tʃí,,visit!,
4584,və̀lɔ̀tʃɔ́,,visit! (far),
4585,úd̪ɔ́,,blow!,
4586,úd̪ɔ̂,,blow!,
4587,úd̪ɔ́ ŋàɽǎ,,blow candle!,
4588,úd̪ɔ́ ŋàɽà,,blow candle!,
4589,ùd̪ɔ́ ŋàɽà,,Blow candle (far),
4590,"ùd̪ɔ̂, ùd̪ɔ́ ŋàɽà",,Blow candle (far),
4591,lìdʒí lûd̪ɔ́ ŋáɽà ùnɛ̀ɾɛ̀,,people who blew the candle yesterday,
4592,lìdʒí lùd̪ɔ́ ŋáɽà ùnɛ̀ɾɛ̀,,People blew the candle yesterday,
4593,lìdʒí làúd̪ɛ̀ ŋàɽà ùnɛ́ɾɛ́,,People blew the candle yesterday (and left),
4594,lìdʒí làúd̪ɛ̀ ŋàɽà ùnɛ̀ɾɛ̀,,People blew the candle yesterday (and left),
4595,lìdʒí láúd̪ɔ̀ ŋàɽà nd̪ɔ̀bà,,People will blow the candle tomorrow,
4596,lìdʒí lá úd̪ɔ̀ ŋàɽà nd̪ɔ̀bà,,People will blow the candle tomorrow,
4597,lìdʒí láùd̪ɔ́ ŋáɽà nd̪ɔ̀bà,,People will blow the candle tomorrow (far)	,
4598,lìdʒí lɛ̀ɽìɲɔ́ ŋáɽà,,people extinguished candles,
4599,lìdʒí lɽìɲɔ́ ŋáɽá,,people extinguished candles,
4600,là lídʒí úd̪ɛ̀ ùnɛ́rɛ́,,People blew it (the candle) yesterday (and left),
4601,lùd̪ɔ́ lídʒí únɛ̀ɾɛ̀,,People blew it (the candle) yesterday,
4602,lùd̪ɔ́ lídʒí ùnɛ̀ɾɛ̀,,People blew it (the candle) yesterday,
4603,ŋàɽà,,"gum, candle",
4604,ŋàɽà ŋɔ̀là,,the candles are tall,
4605,làɽà lɔ̀là,,The candle is tall,
4606,là lídʒí úd̪ɛ̀ ùnɛ̀rɛ̀,,People blew it (the candle) yesterday (far),
4607,là lúrnɔ̀ ùd̪ɛ̀ ùnɛ̀rɛ̀,,grandchildren blew it (the candle) (far),
4608,lɛ̀ɽìɲɔ́ lúrnɔ̀ ùnɛ́rɛ́,,granchildren extinguished it (the candle) yesterday,
4609,lá lúrnɔ̀ ùd̪ɔ̀ nd̪ɔ̀bà,,grandchildren will blow it (the candle) tomorrow,
4610,lá lúrnɔ̀ ùd̪ɔ́ nd̪ɔ̀bà,,grandchildren will blow it (the candle) tomorrow (far),
4611,ɽíɲɔ́ ŋàɽǎ,,extinguish the candles!,
4612,ɽíɲɔ́ làɽà,,extinguish the candle!,
4613,ɽìɲá ŋàɽà,,extinguish the candles! (far),
4614,ɽìɲá làɽà,,extinguish the candle! (far),
4615,lìdʒí lɛ̀ɽìɲɔ́ ŋáɽà ùnɛ̀ɾɛ̀,,people extinguished candles yesterday,
4616,lìdʒí làɽíɲɛ̀ ŋàɽà ùnɛ̀ɾɛ̀,,people extinguished candles yesterday (far),
4617,lìdʒí làɽíɲɛ̀...,,Parts of: people extinguished candles yesterday (far),
4618,lìdʒí láɽíɲà ŋáɽà nd̪ɔ̀bà,,people will extinguish candles tomorrow,
4619,lìdʒí láɽìɲɔ́ ŋáɽà nd̪ɔ̀bà,,people will extinguish candles tomorrow (far),
4620,údí,,burn!,
4621,údí ðùɽí,,burn wood!,
4622,ùdɔ́ ðùɽì,,burn wood! (far),
4623,lìdʒí lùdí ðúɽì ùnɛ̀ɾɛ̀,,people burned firewood yesterday,
4624,lìdʒí làúdì ðùɽì ùnɛ̀ɾɛ̀,,people burned firewood yesterday (far),
4625,lìdʒí láúdɔ̀ ðùɽì nd̪ɔ̀bà,,people will burn wood tomorrow,
4626,lìdʒí láùdí ðúɽì nd̪ɔ̀bà,,people will burn wood tomorrow (far),
4627,lìdʒí lá ùdí ðúɽì nd̪ɔ̀bà,,people will burn wood tomorrow (far),
4628,káɾó ðùɽí,,break  wood!,
4629,kàɾá ðùɽì,,break  wood! (far),
4630,káɾó ðùɽì,,break wood!,
4631,lìdʒí lɛ̀kàɾó ðúɽì ùnɛ̀ɾɛ̀,,people broke wood yesterday,
4632,lìdʒí lɛ̀gàɾó rə́ɽì ,,people broke wood  (pl),
4633,rə̀ɽì rə̀tʃə̀lò,,wood (pl) are good,
4634,ùɽì kìtʃə̀lò,CLk.woods CLk-good,trees are good,ùɽì kì-tʃə̀lò
4635,lìdʒí làɣáɾì ðùɽì,,people broke wood and left,
4636,lìdʒí làkáɾì ùɽì ùnɛ̀ɾɛ̀,,people broke wood and left,
4637,lìdʒí lákáɾà ùɽì nd̪ɔ̀bà,,people will break wood tomorrow,
4638,lìdʒí lákàɾó úɽì,,people will break wood (far),
4639,lìdʒí lákàɾó úɽì nd̪ɔ̀bà,,people will break wood tomorrow (far),
4640,ŋgápà ɔ́ɾɛ̌,,He will carry the baby,
4641,ŋgápà ɔ́ɾɛ̀,,He will carry the baby,ŋgá ápà ɔ́ɾ-ɛ̀
4642,ŋgá ápà ɔ́ɾɛ̀,,He will carry the baby,ŋgá ápà ɔ́ɾ-ɛ̀
4643,ɔ́ɾá ŋgáɖínɔ̌,,the baby will be held,
4644,ɔ́ɾá ŋgáɖínɔ̀ nd̪ɔ̀bà,,the baby will be held tomorrow,
4645,ìŋgáɖɔ̀ ɔ́ɾɛ́,,he will hold the baby,
4646,ŋgáɖɔ̀ŋnɔ̌ ɔ́ɾɛ́,3SG-Clg-IPFV-hold-FV Clj.body Clg.baby-ACC,he will hold the baby,ŋ-g-á-áɖ-ɔ̀ àŋnɔ̀ ɔ́ɾ-ɛ́
4647,ɜɖi,,hold,
4648,ŋgáɖɔ̀ŋnɔ̌,,he will hold,
4649,àŋnɔ̀,,body,
4650,ɔ́rá ŋgápìnɔ̀ nd̪ɔ̀bà,,the baby will be carried tomorrow,
4651,ɔ́rá ŋgápínɔ̀ nd̪ɔ̀bà,,the baby will be carried tomorrow,
4652,kúkǔ ŋgálàpìjɔ̀ ɔ́ɾɛ̀,,kuku will be made to carry the baby,
4653,kúkù ŋgálàpìjɔ̀ ɔ́ɾɛ̀,,kuku will be made to carry the baby,kúkù ŋgá-l-àp-ìj-ɔ̀ ɔ́ɾɛ́
4654,kúkù ŋgálàpìjɔ̀ ɔ́ɾɛ́ nd̪ɔ̀bà,,kuku will be made to carry the baby tomorrow,
4655,*kúkù ŋgápìjìnɔ ɔ́ɾɛ́ nd̪ɔ̀bà,,INTENDED: Kuku will be made to carry the baby tomorrow,
